"CODE","SPANISH","ENGLISH"
"A02BX51","carbenoxolona, combinaciones excluidos psicolépticos","carbenoxolone, combinations excl. psycholeptics"
"A02BX71","carbenoxolona, combinaciones con psicolépticos","carbenoxolone, combinations with psycholeptics"
"A02BX77","gefarnato, combinaciones con psicolépticos","gefarnate, combinations with psycholeptics"
"A02X","OTROS AGENTES CONTRA ALTERACIONES CAUSADAS POR ÁCIDOS","OTHER DRUGS FOR ACID RELATED DISORDERS"
"A03","AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTÓMAGO E INTESTINO","DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS"
"A03A","AGENTES CONTRA PADECIMIENTOS FUNCIONALES GASTROINTESTINALES","DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS"
"A03AA","Anticolinérgicos sintéticos, ésteres con grupo amino terciario","Synthetic anticholinergics, esters with tertiary amino group"
"A03AA01","oxifenciclimina","oxyphencyclimine"
"A03AA03","camilofina","camylofin"
"A03AA04","mebeverina","mebeverine"
"A03AA05","trimebutina","trimebutine"
"A03AA06","rociverina","rociverine"
"A03AA07","dicicloverina","dicycloverine"
"A03AA08","dihexiverina","dihexyverine"
"A03AA09","difemerina","difemerine"
"A03AA30","piperidolato","piperidolate"
"A03AB","Anticolinérgicos sintéticos, compuestos de amonio cuaternario","Synthetic anticholinergics, quaternary ammonium compounds"
"A03AB01","bencilona","benzilone"
"A03AB02","glicopirronio bromuro de","glycopyrronium bromide"
"A03AB03","oxifenonio","oxyphenonium"
"A03AB04","pentienato","penthienate"
"A03AB05","propantelina","propantheline"
"A03AB06","otilonio, bromuro de","otilonium bromide"
"A03AB07","metantelinio","methantheline"
"A03AB08","tridihexetilo","tridihexethyl"
"A03AB09","isopropamida","isopropamide"
"A03AB10","hexociclo","hexocyclium"
"A03AB11","poldina","poldine"
"A03AB12","mepenzolato","mepenzolate"
"A03AB13","bevonio","bevonium"
"A03AB14","pipenzolato","pipenzolate"
"A03AB15","difemanilo","diphemanil"
"A03AB16","(2-benzhidroxiloxietil)dietil-metilamonio, ioduro de","(2-benzhydryloxyethyl)diethyl-methylammonium iodide"
"A03AB17","tiemonio, ioduro de","tiemonium iodide"
"A03AB18","prifinio, bromuro de","prifinium bromide"
"A03AB19","timepidio, bromuro de","timepidium bromide"
"A03AB21","fenpiverinio","fenpiverinium"
"A03AB53","oxifenonio, combinaciones","oxyphenonium, combinations"
"A03AC","Antiespasmódicos sintéticos, amidas con aminas terciarias","Synthetic antispasmodics, amides with tertiary amines"
"A03AC02","dimelaminopropionilfenotiazina","dimethylaminopropionylphenothiazine"
"A03AC04","nicofetamida","nicofetamide"
"A03AC05","tiropramida","tiropramide"
"A03AD","Papaverina y derivados","Papaverine and derivatives"
"A03AD01","papaverina","papaverine"
"A03AD02","drotaverina","drotaverine"
"A03AD30","moxaverina","moxaverine"
"A03AE","Antagonistas de los receptores de seretonina","Serotonin receptor antagonists"
"A03AE01","alosetrón","alosetron"
"A03AE03","cilansetrón","cilansetron"
"A03AX","Otros agentes contra padecimientos funcionales gastrointestinales","Other drugs for functional gastrointestinal disorders"
"A03AX01","fenpiprano","fenpiprane"
"A03AX02","diisopromina","diisopromine"
"A03AX03","clorbenzoxamina","chlorbenzoxamine"
"A03AX04","pinaverio","pinaverium"
"A03AX05","fenoverina","fenoverine"
"A03AX06","idanpramina","idanpramine"
"A03AX07","proxazol","proxazole"
"A03AX08","alverina","alverine"
"A03AX09","trepibutona","trepibutone"
"A03AX10","isometepteno","isometheptene"
"A03AX11","caroverina","caroverine"
"A03AX12","floroglucinol","phloroglucinol"
"A03AX13","siliconas","silicones"
"A03AX30","trimetildifenilpropilamina","trimethyldiphenylpropylamine"
"A03AX58","alverina, combinaciones","alverine, combinations"
"A03B","BELLADONA Y DERIVADOS, MONOTERAPIA","BELLADONNA AND DERIVATIVES, PLAIN"
"A03BA","Alcaloides de la belladona, aminas terciarias","Belladonna alkaloids, tertiary amines"
"A03BA01","atropina","atropine"
"A03BA03","hiosciamina","hyoscyamine"
"A03BA04","belladona, alcaloides totales de","belladonna total alkaloids"
"A03BB","Alcaloides semisintéticos de la belladona, compuestos de amonio cuaternario","Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
"A03BB01","butilescopolamina","butylscopolamine"
"A03BB02","metilatropina","methylatropine"
"A03BB03","metilescopolamina","methylscopolamine"
"A03BB04","fentonio","fentonium"
"A03BB05","cimetropio, bromuro de","cimetropium bromide"
"A03C","ANTIESPASMÓDICOS EN COMBINACIÓN CON PSICOLÉPTICOS","ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS"
"A03CA","Agentes anticolinérgicos sintéticos en combinación con psicolépticos","Synthetic anticholinergic agents in combination with psycholeptics"
"A03CA01","isopropamida y psicolépticos","isopropamide and psycholeptics"
"A03CA02","clidinio y psicolépticos","clidinium and psycholeptics"
"A03CA03","oxifenciclimina y psicolépticos","oxyphencyclimine and psycholeptics"
"A03CA04","otilonio, bromuro de, y psicolépticos","otilonium bromide and psycholeptics"
"A03CA05","glicopirronio bromuro de y psicolépticos","glycopyrronium bromide and psycholeptics"
"A03CA06","bevonio y psicolépticos","bevonium and psycholeptics"
"A03CA07","ambutonio y psicolépticos","ambutonium and psycholeptics"
"A03CA08","difemanilo y psicolépticos","diphemanil and psycholeptics"
"A03CA30","emepronio y psicolépticos","emepronium and psycholeptics"
"A03CA34","propantelina y psicolépticos","propantheline and psycholeptics"
"A03CB","Belladona y derivados en combinación con psicolépticos","Belladonna and derivatives in combination with psycholeptics"
"A03CB01","metilescopolamina y psicolépticos","methylscopolamine and psycholeptics"
"A03CB02","belladona, alcaloides totales de y psicolépticos","belladonna total alkaloids and psycholeptics"
"A03CB03","atropina y psicolépticos","atropine and psycholeptics"
"A03CB04","metilhomatropina y psicolépticos","methylhomatropine and psycholeptics"
"A03CB31","hiosciamina y psicolépticos","hyoscyamine and psycholeptics"
"A03CC","Otros antiespasmódicos en combinación con psicolépticos","Other antispasmodics in combination with psycholeptics"
"A03D","ANTIESPASMÓDICOS EN COMBINACIÓN CON ANALGÉSICOS","ANTISPASMODICS IN COMBINATION WITH ANALGESICS"
"A03DA","Agentes anticolinérgicos sintéticos en combinación con analgésicos","Synthetic anticholinergic agents in combination with analgesics"
"A03DA01","tropenzolina y analgésicos","tropenzilone and analgesics"
"A03DA02","pitofenona y analgésicos","pitofenone and analgesics"
"A03DA03","bevonio y analgésicos","bevonium and analgesics"
"A03DA04","ciclonio y analgésicos","ciclonium and analgesics"
"A03DA05","camilofina y analgésicos","camylofin and analgesics"
"A03DA06","trospio y analgésicos","trospium and analgesics"
"A03DA07","tiemonio, ioduro de, y analgésicos","tiemonium iodide and analgesics"
"A03DB","Belladona y derivados en combinación con analgésicos","Belladonna and derivatives in combination with analgesics"
"A03DB04","butilescopolamina y analgésicos","butylscopolamine and analgesics"
"A03DC","Otros antiespasmódicos en combinación con analgésicos","Other antispasmodics in combination with analgesics"
"A03E","ANTIESPASMÓDICOS Y ANTICOLINÉRGICOS EN COMBINACIÓN CON OTRAS DROGAS","ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS"
"A03EA","Antiespasmódicos, psicolépticos y analgésicos en combinación","Antispasmodics, psycholeptics and analgesics in combination"
"A03ED","Antiespasmódicos en combinación con otras drogas","Antispasmodics in combination with other drugs"
"A03F","PROPULSIVOS","PROPULSIVES"
"A03FA","Propulsivos","Propulsives"
"A03FA01","metoclopramida","metoclopramide"
"A03FA02","cisaprida","cisapride"
"A03FA03","domperidona","domperidone"
"A03FA04","bromoprida","bromopride"
"A03FA05","alizaprida","alizapride"
"A03FA06","cleboprida","clebopride"
"A04","ANTIEMÉTICOS Y ANTINAUSEOSOS","ANTIEMETICS AND ANTINAUSEANTS"
"A04A","ANTIEMÉTICOS Y ANTINAUSEOSOS","ANTIEMETICS AND ANTINAUSEANTS"
"A04AA","Antagonistas de receptores de serotonina (5-HT3)","Serotonin (5HT3) antagonists"
"A04AA01","ondansetrón","ondansetron"
"A04AA02","granisetrón","granisetron"
"A04AA03","tropisetrón","tropisetron"
"A04AA04","dolasetrón","dolasetron"
"A04AA05","palonosetrón","palonosetron"
"A04AD","Otros antieméticos","Other antiemetics"
"A04AD01","escopolamina","scopolamine"
"A04AD02","oxalato de cerio","cerium oxalate"
"A04AD04","clorobutanol","chlorobutanol"
"A04AD05","metopimazina","metopimazine"
"A04AD10","dronabinol","dronabinol"
"A04AD11","nabilona","nabilone"
"A04AD12","aprepitant","aprepitant"
"A04AD13","casopitant","casopitant"
"A04AD51","escopolamina, combinaciones","scopolamine, combinations"
"A04AD54","clorobutanol, combinaciones","chlorobutanol, combinations"
"A05","TERAPIA BILIAR Y HEPÁTICA","BILE AND LIVER THERAPY"
"A05A","TERAPIA BILIAR","BILE THERAPY"
"A05AA","Preparados con ácidos biliares","Bile acid preparations"
"A05AA01","ácido quenodeoxicólico","chenodeoxycholic acid"
"A05AA02","ácido ursodeoxicólico","ursodeoxycholic acid"
"A05AA03","ácido cólico","cholic acid"
"A05AB","Preparados para la terapia del tracto biliar","Preparations for biliary tract therapy"
"A05AB01","nicotinil metilamida","nicotinyl methylamide"
"A05AX","Otras drogas para terapia biliar","Other drugs for bile therapy"
"A05AX01","piprozolina","piprozolin"
"A05AX02","himecromona","hymecromone"
"A05AX03","ciclobutirol","cyclobutyrol"
"A05B","TERAPIA HEPÁTICA, LIPOTRÓPICOS","LIVER THERAPY, LIPOTROPICS"
"A05BA","Terapia hepática","Liver therapy"
"A05BA01","arginina, glutamato de","arginine glutamate"
"A05BA03","silimarina","silymarin"
"A05BA04","citiolona","citiolone"
"A05BA05","epomediol","epomediol"
"A05BA06","ornitina, oxoglurato de","ornithine oxoglurate"
"A05BA07","arginina tiadícica","tidiacic arginine"
"A05BA08","ácido glicirrhízico","glycyrrhizic acid"
"A05C","DROGAS PARA TERAPIA BILIAR Y LIPOTRÓPICOS EN COMBINACIÓN","DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION"
"A06","AGENTES CONTRA EL EXTREÑIMIENTO","DRUGS FOR CONSTIPATION"
"A06A","AGENTES CONTRA EL EXTREÑIMIENTO","DRUGS FOR CONSTIPATION"
"A06AA","Suavizantes, emolientes","Softeners, emollients"
"A06AA01","parafina blanda","liquid paraffin"
"A06AA02","docusato de sodio","docusate sodium"
"A06AA51","parafina blanda, combinaciones","liquid paraffin, combinations"
"A06AB","Laxantes de contacto","Contact laxatives"
"A06AB01","oxifenisatina","oxyphenisatine"
"A06AB02","bisacodilo","bisacodyl"
"A06AB03","dantrón","dantron"
"A06AB04","fenoftaleína","phenolphthalein"
"A06AB05","aceite de castor","castor oil"
"A06AB06","glicósidos del senna","senna glycosides"
"A06AB07","cáscara","cascara"
"A06AB08","picosulfato de sodio","sodium picosulfate"
"A06AB09","bisoxatina","bisoxatin"
"A06AB20","laxantes de contacto en combinación","contact laxatives in combination"
"A06AB30","laxantes de contacto en combinación con alcaloides de belladona","contact laxatives in combination with belladonna alkaloids"
"A06AB52","bisacodilo, combinaciones","bisacodyl, combinations"
"A06AB53","dantrón, combinaciones","dantron, combinations"
"A06AB56","glicósidos del senna, combinaciones","senna glycosides, combinations"
"A06AB57","cáscara, combinaciones","cascara, combinations"
"A06AB58","picosulfato de sodio, combinaciones","sodium picosulfate, combinations"
"A06AC","Laxantes, formadores de volumen","Bulk-forming laxatives"
"A06AC01","ispaghula (semillas de psyllium)","ispaghula (psylla seeds)"
"A06AC02","etulosa","ethulose"
"A06AC03","esterculia","sterculia"
"A06AC05","linaza","linseed"
"A06AC06","metilcelulosa","methylcellulose"
"A06AC07","trítico (fibra de trigo)","triticum (wheat fibre)"
"A06AC08","policarbófilo de calcio","polycarbophil calcium"
"A06AC51","ispaghula, combinaciones","ispaghula, combinations"
"A06AC53","esterculia, combinaciones","sterculia, combinations"
"A06AC55","linaza, combinaciones","linseed, combinations"
"A06AD","Laxantes osmóticos","Osmotically acting laxatives"
"A06AD01","magnesio carbonato","magnesium carbonate"
"A06AD02","magnesio óxido","magnesium oxide"
"A06AD03","magnesio peróxido","magnesium peroxide"
"A06AD04","magnesio sulfato","magnesium sulfate"
"A06AD10","sales minerales en combinación","mineral salts in combination"
"A06AD11","lactulosa","lactulose"
"A06AD12","lactitol","lactitol"
"A06AD13","sulfato de sodio","sodium sulfate"
"A06AD14","pentaeritritilo","pentaerithrityl"
"A06AD15","macrogol","macrogol"
"A06AD16","manitol","mannitol"
"A06AD17","fosfato de sodio","sodium phosphate"
"A06AD18","sorbitol","sorbitol"
"A06AD19","cloruro de magnesio","magnesium citrate"
"A06AD21","tartrato de sodio","sodium tartrate"
"A06AD61","lactulosa, combinaciones","lactulose, combinations"
"A06AD65","macrogol, combinaciones","macrogol, combinations"
"A06AG","Enemas","Enemas"
"A06AG01","fosfato de sodio","sodium phosphate"
"A06AG02","bisacodilo","bisacodyl"
"A06AG03","dantrón, incl. combinaciones","dantron, incl. combinations"
"A06AG04","glicerol","glycerol"
"A06AG06","aceite","oil"
"A06AG07","sorbitol","sorbitol"
"A06AG10","docusato de sodio, incl. combinaciones","docusate sodium, incl. combinations"
"A06AG11","laurilsulfato, incl. combinaciones","laurilsulfate, incl. combinations"
"A06AG20","enemas, combinaciones","combinations"
"A06AH","Antagonistas del receptor opioide periférico","Peripheral opioid receptor antagonists"
"A06AH01","bromuro de metilnaltrexona","methylnaltrexone bromide"
"A06AH02","alvimopán","alvimopan"
"A06AH03","naloxegol","naloxegol"
"A06AX","Otros agentes contra el extreñimiento","Other drugs for constipation"
"A06AX01","glicerol","glycerol"
"A06AX02","dióxido de carbono, drogas que producen","carbon dioxide producing drugs"
"A06AX03","lubiprostona","lubiprostone"
"A06AX04","linaclotida","linaclotide"
"A06AX05","prucaloprida","prucalopride"
"A06AX06","tegaserod","tegaserod"
"A07","ANTIDIARREICOS, AGENTES ANTIINFLAMATORIOS/ANTIINFECCIOSOS INTESTINALES","ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
"A07A","ANTIINFECCIOSOS INTESTINALES","INTESTINAL ANTIINFECTIVES"
"A07AA","Antibióticos","Antibiotics"
"A07AA01","neomicina","neomycin"
"A07AA02","nistatina","nystatin"
"A07AA03","natamicina","natamycin"
"A07AA04","estreptomicina","streptomycin"
"A07AA05","polimixina B","polymyxin B"
"A07AA06","paromomicina","paromomycin"
"A07AA07","amfotericina B","amphotericin B"
"A07AA08","kanamicina","kanamycin"
"A07AA09","vancomicina","vancomycin"
"A07AA10","colistina","colistin"
"A07AA11","rifaximina","rifaximin"
"A07AA12","fidaxomicina","fidaxomicin"
"A07AA51","neomicina, combinaciones","neomycin, combinations"
"A07AA54","estreptomicina, combinaciones","streptomycin, combinations"
"A07AB","Sulfonamidas","Sulfonamides"
"A07AB02","ftalilsulfatiazol","phthalylsulfathiazole"
"A07AB03","sulfaguanidina","sulfaguanidine"
"A07AB04","succinilsulfatiazol","succinylsulfathiazole"
"A07AC","Derivados imidazólicos","Imidazole derivatives"
"A07AC01","miconazol","miconazole"
"A07AX","Otros antiinfecciosos intestinales","Other intestinal antiinfectives"
"A07AX01","broxiquinolina","broxyquinoline"
"A07AX02","acetarsol","acetarsol"
"A07AX03","nifuroxazida","nifuroxazide"
"A07AX04","nifurcida","nifurzide"
"A07B","ADSORBENTES INTESTINALES","INTESTINAL ADSORBENTS"
"A07BA","Preparados con carbón","Charcoal preparations"
"A07BA01","carbón medicinal","medicinal charcoal"
"A07BA51","carbón medicinal, combinaciones","medicinal charcoal, combinations"
"A07BB","Preparados con bismuto","Bismuth preparations"
"A07BC","Otros adsorbentes intestinales","Other intestinal adsorbents"
"A07BC01","pectina","pectin"
"A07BC02","caolín","kaolin"
"A07BC03","crospovidona","crospovidone"
"A07BC04","atapulgita","attapulgite"
"A07BC05","diosmectita","diosmectite"
"A07BC30","combinaciones","combinations"
"A07BC54","atapulgita, combinaciones","attapulgite, combinations"
"A07C","ELECTROLÍTOS CON CARBOHIDRATOS","ELECTROLYTES WITH CARBOHYDRATES"
"A07CA","Formulaciones de sales de rehidratación oral","Oral rehydration salt formulations"
"A07D","ANTIPROPULSIVOS","ANTIPROPULSIVES"
"A07DA","Antipropulsivos","Antipropulsives"
"A07DA01","difenoxilato","diphenoxylate"
"A07DA02","opio","opium"
"A07DA03","loperamida","loperamide"
"A07DA04","difenoxina","difenoxin"
"A07DA05","loperamida, óxido de","loperamide oxide"
"A07DA52","morfina, combinaciones","morphine, combinations"
"A07DA53","loperamida, combinaciones","loperamide, combinations"
"A07E","AGENTES ANTIINFLAMATORIOS INTESTINALES","INTESTINAL ANTIINFLAMMATORY AGENTS"
"A07EA","Corticosteroides de acción local","Corticosteroids acting locally"
"A07EA01","prednisolona","prednisolone"
"A07EA02","hidrocortisona","hydrocortisone"
"A07EA03","prednisona","prednisone"
"A07EA04","betametasona","betamethasone"
"A07EA05","tixocortol","tixocortol"
"A07EA06","budesonida","budesonide"
"A07EA07","beclometasona","beclometasone"
"A07EB","Agentes antialérgicos, excluidos corticosteroides","Antiallergic agents, excl. corticosteroids"
"A07EB01","ácido cromoglícico","cromoglicic acid"
"A07EC","Ácido aminosalicílico y agentes similares","Aminosalicylic acid and similar agents"
"A07EC01","sulfasalazina","sulfasalazine"
"A07EC02","mesalazina","mesalazine"
"A07EC03","olsalazina","olsalazine"
"A07EC04","balsalazida","balsalazide"
"A07F","MICROORGANISMOS ANTIDIARREICOS","ANTIDIARRHEAL MICROORGANISMS"
"A07FA","Microorganismos antidiarreicos","Antidiarrheal microorganisms"
"A07FA01","ácido láctico, organismo productores de","lactic acid producing organisms"
"A07FA02","saccharomyces boulardii","saccharomyces boulardii"
"A07FA51","ácido láctico, organismos productores de, combinaciones","lactic acid producing organisms, combinations"
"A07X","OTROS ANTIDIARREICOS","OTHER ANTIDIARRHEALS"
"A07XA","Otros antidiarreicos","Other antidiarrheals"
"A07XA01","tanato de albúmina","albumin tannate"
"A07XA02","ceratonia","ceratonia"
"A07XA03","calcio, compuestos de","calcium compounds"
"A07XA04","racecadotril","racecadotril"
"A07XA51","tanato de albúmina, combinaciones","albumin tannate, combinations"
"A08","PREPARADOS CONTRA LA OBESIDAD, EXCLUIDOS PRODUCTOS DIETÉTICOS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"
"A08A","PREPARADOS CONTRA LA OBESIDAD, EXCLUIDOS PRODUCTOS DIETÉTICOS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"
"A08AA","Productos contra la obesidad de acción central","Centrally acting antiobesity products"
"A08AA01","fentermina","phentermine"
"A08AA02","fenfluramina","fenfluramine"
"A08AA03","amfepramona","amfepramone"
"A08AA04","dexfenfluramina","dexfenfluramine"
"A08AA05","mazindol","mazindol"
"A08AA06","etilanfetamina","etilamfetamine"
"A08AA07","catina","cathine"
"A08AA08","clobenzorex","clobenzorex"
"A08AA09","mefenorex","mefenorex"
"A08AA10","sibutramina","sibutramine"
"A08AA11","lorcaserina","lorcaserin"
"A08AA56","efedrina, combinaciones","ephedrine, combinations"
"A08AB","Productos contra la obesidad de acción periférica","Peripherally acting antiobesity products"
"A08AB01","orlistat","orlistat"
"A08AX","Otros agentes contra la obesidad","Other antiobesity drugs"
"A08AX01","rimonabant","rimonabant"
"A09","DIGESTIVOS, INCL. ENZIMAS","DIGESTIVES, INCL. ENZYMES"
"A09A","DIGESTIVOS, INCL. ENZIMAS","DIGESTIVES, INCL. ENZYMES"
"A09AA","Preparados enzimáticos","Enzyme preparations"
"A09AA01","diastasa","diastase"
"A09AA02","multienzimas (lipasa, proteasa, etc.)","multienzymes (lipase, protease etc.)"
"A09AA03","pepsina","pepsin"
"A09AA04","tilactasa","tilactase"
"A09AB","Preparados de ácidos","Acid preparations"
"A09AB01","ácido glutámico, clorhidrato del","glutamic acid hydrochloride"
"A09AB02","betaína, clorhidrato de","betaine hydrochloride"
"A09AB03","ácido clorhídrico","hydrochloric acid"
"A09AB04","ácido cítrico","citric acid"
"A09AC","Preparados con enzimas y ácidos en combinación","Enzyme and acid preparations, combinations"
"A09AC01","preparados con pepsina y ácidos","pepsin and acid preparations"
"A09AC02","multienzimas y preparados de ácidos","multienzymes and acid preparations"
"A10","DROGAS USADAS EN DIABETES","DRUGS USED IN DIABETES"
"A10A","INSULINAS Y ANÁLOGOS","INSULINS AND ANALOGUES"
"A10AB","Insulinas y análogos de acción rápida para inyección","Insulins and analogues for injection, fast-acting"
"A10AB01","insulina (humana)","insulin (human)"
